Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
144;6;4;5;6;7;7;6;6;5;6;5;5;5;7;5;4;2;3;5;7;3;3;3;1;5;5;5
145;3;5;3;1;4;4;3;6;6;5;5;7;6;7;3;3;3;3;3;7;7;3;3;5;7;5;6
146;6;6;7;4;7;7;6;6;5;5;6;4;4;5;1;2;2;2;2;7;7;2;4;1;1;1;6
147;5;5;3;3;3;3;3;3;6;4;4;5;5;5;3;4;4;3;3;6;6;3;3;4;5;4;5
148;7;7;6;5;5;5;4;7;7;6;7;7;7;7;4;4;5;5;4;7;7;2;1;7;4;4;4
149;2;2;1;1;1;1;1;3;2;1;1;6;4;6;1;1;1;1;1;7;7;1;1;1;6;1;7
150;2;2;2;4;2;4;3;3;5;2;4;4;3;3;4;3;3;4;4;7;7;2;1;4;3;3;2
151;3;3;3;2;4;4;4;7;7;4;6;5;6;7;7;6;6;4;6;3;3;4;4;3;3;3;3
152;7;6;6;6;5;7;6;5;6;6;6;6;7;6;7;4;1;5;6;2;2;1;1;4;6;7;6
153;6;6;3;1;1;7;2;6;6;5;6;6;7;6;3;1;1;1;1;5;3;2;2;2;7;7;5
154;4;4;4;4;5;5;2;6;5;5;5;7;7;7;5;5;4;4;6;7;7;2;4;2;5;2;5
155;6;2;7;3;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;6;4;6;4;7
156;5;5;5;3;5;6;4;6;6;5;6;5;6;6;5;4;3;3;4;6;6;3;4;3;5;5;5
157;6;5;5;4;6;6;6;6;6;4;4;6;7;5;7;7;5;5;4;5;5;3;4;4;6;4;5
158;7;6;1;1;1;3;1;7;7;1;1;7;7;7;5;5;5;5;5;6;6;1;1;1;7;7;7
159;6;3;2;2;5;6;3;5;5;2;4;6;6;7;7;5;5;2;6;6;6;4;3;4;4;4;4
160;6;4;7;7;7;7;6;5;7;7;6;7;6;6;1;2;4;2;2;7;5;2;4;7;5;5;6
161;6;5;4;2;5;5;2;6;6;5;4;5;4;5;3;2;2;2;2;5;6;4;5;2;4;4;3
162;4;4;4;6;5;5;5;5;6;4;3;4;4;5;2;2;2;2;2;7;7;6;2;7;4;5;4
163;7;4;1;1;1;5;1;5;6;5;4;7;7;6;1;1;1;1;1;7;6;1;1;1;5;6;7
164;6;6;7;6;6;7;7;6;6;6;7;6;6;5;5;4;4;4;5;6;6;5;4;6;6;5;4
165;5;6;2;2;2;2;3;4;6;7;7;4;5;5;3;7;7;7;7;6;7;2;4;2;4;5;6
166;7;6;4;4;3;6;6;6;5;6;5;7;6;6;7;6;6;6;6;7;7;7;4;4;4;4;4
167;5;5;3;1;2;5;1;7;7;5;5;7;7;7;3;3;3;3;3;7;7;1;1;5;5;5;1
168;6;5;1;1;4;5;1;6;6;1;1;1;5;6;7;7;4;2;6;7;6;1;1;5;5;4;5
169;3;3;7;6;7;7;7;6;6;6;6;6;6;6;3;3;3;3;5;6;6;4;4;4;7;6;7
170;6;6;6;5;7;7;4;6;7;5;5;6;7;5;3;2;1;4;2;7;7;3;3;5;5;4;6
171;7;6;6;6;6;6;5;6;6;6;3;5;5;4;7;4;1;1;3;6;7;3;3;7;4;4;4
172;4;4;3;3;3;5;2;5;5;4;4;4;4;4;5;5;4;1;2;6;6;2;2;5;5;5;5
173;6;6;5;4;5;6;5;6;6;4;6;6;6;6;6;5;4;4;5;6;6;5;4;6;6;6;6
174;5;5;5;2;5;5;2;5;5;5;6;5;6;5;6;5;4;4;4;5;5;4;4;2;2;2;2
175;5;3;1;1;3;1;2;7;7;3;6;7;6;7;7;7;3;2;5;7;7;1;1;2;2;2;5
176;7;7;7;5;7;7;7;7;7;5;7;7;7;7;7;6;1;5;7;1;1;1;1;1;7;7;7
177;7;6;6;6;7;3;5;6;6;5;5;7;7;6;6;7;4;5;7;6;3;2;3;3;6;7;5
178;4;5;5;4;5;5;3;6;5;5;6;6;5;6;5;1;2;1;1;6;6;2;2;2;5;4;4
179;5;5;2;2;2;6;5;5;6;6;6;6;6;6;2;2;2;2;2;7;7;3;2;2;5;5;5
